Date,Symbol,Entry,Quantity
31-12-2024,BHARATSE.NS,94.45,52
31-12-2024,CEATLTD.NS,3208.42,2
31-12-2024,EIDPARRY.NS,868.50,5
31-12-2024,EMPIND.BO,1275.00,4
31-12-2024,GHCL.NS,709.16,7
31-12-2024,GICRE.NS,443.40,10
31-12-2024,GSPL.NS,353.49,13
31-12-2024,HIMATSEIDE.NS,185.88,26
31-12-2024,HINDPETRO.NS,408.25,12
31-12-2024,INDIAGLYCO.NS,1254.65,4
31-12-2024,KOTHARIPET.NS,187.95,25
31-12-2024,KOTHARIPRO.NS,99.13,48
31-12-2024,MANGCHEFER.NS,154.36,31
31-12-2024,MAZDA.NS,298.61,15
31-12-2024,MONTECARLO.NS,810.82,6
31-12-2024,NATIONALUM.NS,210.67,23
31-12-2024,NAVA.NS,495.13,10
31-12-2024,NITINSPIN.NS,433.95,11
31-12-2024,RANEHOLDIN.NS,1748.91,3
31-12-2024,RPPINFRA.NS,194.00,25
31-12-2024,SRHHYPOLTD.NS,778.50,6
31-12-2024,SUKHJITS.NS,264.75,18
31-12-2024,TGVSL.BO,104.50,47
31-12-2024,VLSFINANCE.NS,334.58,14
31-12-2024,WELCORP.NS,802.80,6
