Date,Symbol,Close Price,Avg Entry Price,Quantity,PnL
2024-12-31,CEATLTD.NS,3232.35,3208.42,2,47.86
2024-12-31,EIDPARRY.NS,893.65,868.5,5,125.75
2024-12-31,EMPIND.BO,1291.55,1275.0,4,66.2
2024-12-31,GHCL.NS,723.5,709.16,7,100.38
2024-12-31,GICRE.NS,444.25,443.4,10,8.5
2024-12-31,GSPL.NS,361.9,353.49,13,109.33
2024-12-31,HIMATSEIDE.NS,188.55,185.88,26,69.42
2024-12-31,HINDPETRO.NS,408.75,408.25,12,6.0
2024-12-31,INDIAGLYCO.NS,1283.75,1254.65,4,116.4
2024-12-31,KOTHARIPET.NS,194.24,187.95,25,157.25
2024-12-31,KOTHARIPRO.NS,98.49,99.13,48,-30.72
2024-12-31,MANGCHEFER.NS,153.53,154.36,31,-25.73
2024-12-31,MAZDA.NS,300.23,298.61,15,24.3
2024-12-31,MONTECARLO.NS,802.15,810.82,6,-52.02
2024-12-31,NATIONALUM.NS,207.28,210.67,23,-77.97
2024-12-31,NAVA.NS,494.23,495.13,10,-9.0
2024-12-31,NITINSPIN.NS,443.15,433.95,11,101.2
2024-12-31,RANEHOLDIN.NS,1768.95,1748.91,3,60.12
2024-12-31,RPPINFRA.NS,194.16,194.0,25,4.0
2024-12-31,SRHHYPOLTD.NS,776.8,778.5,6,-10.2
2024-12-31,SUKHJITS.NS,266.45,264.75,18,30.6
2024-12-31,TGVSL.BO,107.35,104.5,47,133.95
2024-12-31,VLSFINANCE.NS,338.1,334.58,14,49.28
2024-12-31,WELCORP.NS,813.8,802.8,6,66.0
2025-01-01,CEATLTD.NS,3198.05,3208.42,2,-20.74
2025-01-01,EIDPARRY.NS,919.4,868.5,5,254.5
2025-01-01,EMPIND.BO,1329.1,1275.0,4,216.4
2025-01-01,GHCL.NS,738.55,709.16,7,205.73
2025-01-01,GICRE.NS,458.55,443.4,10,151.5
2025-01-01,GSPL.NS,365.0,353.49,13,149.63
2025-01-01,HIMATSEIDE.NS,197.35,185.88,26,298.22
2025-01-01,HINDPETRO.NS,412.35,408.25,12,49.2
2025-01-01,INDIAGLYCO.NS,1293.15,1254.65,4,154.0
2025-01-01,KOTHARIPET.NS,201.23,187.95,25,332.0
2025-01-01,KOTHARIPRO.NS,98.67,99.13,48,-22.08
2025-01-01,MANGCHEFER.NS,160.58,154.36,31,192.82
2025-01-01,MAZDA.NS,311.46,298.61,15,192.75
2025-01-01,MONTECARLO.NS,799.65,810.82,6,-67.02
